white_rating,black_rating,winner,termination_reason,opening_name,opening_eco,opening_play_turns,turns
1500,1191,white,outoftime,slav defense: exchange variation,d10,5,13
1322,1261,black,resign,nimzowitsch defense: kennedy variation,b00,4,16
1496,1500,white,mate,king's pawn game: leonardis variation,c20,3,61
1439,1454,white,mate,queen's pawn game: zukertort variation,d02,3,61
1523,1469,white,mate,philidor defense,c41,5,95
1250,1002,draw,draw,sicilian defense: mongoose variation,b27,4,5
1520,1423,white,resign,blackmar-diemer gambit: pietrowsky defense,d00,10,33
1413,2108,black,resign,nimzowitsch defense: kennedy variation | linksspringer variation,b00,5,9
1439,1392,black,resign,italian game: schilling-kostic gambit,c50,6,66
1381,1209,white,mate,scandinavian defense: mieses-kotroc variation,b01,4,119
1381,1272,white,mate,van't kruijs opening,a00,1,39
1381,1867,black,resign,french defense: advance variation | paulsen attack,c02,9,38
1381,1936,black,resign,french defense: knight variation,c00,3,60
1381,1607,black,resign,french defense #2,c00,2,31
1094,1141,white,mate,four knights game: italian variation,c50,8,31
1141,1094,black,resign,italian game: two knights defense | knight attack,c57,7,43
1094,1141,black,resign,four knights game: italian variation,c50,8,52
1141,1094,black,mate,four knights game: italian variation,c50,8,66
1094,1300,black,resign,philidor defense #3,c41,5,101
1500,1094,white,resign,queen's pawn game,d00,2,25
1094,1676,black,resign,italian game: anti-fried liver defense,c55,6,14
1094,1068,white,resign,horwitz defense,a40,2,3
1500,1094,white,resign,sicilian defense: bowdler attack,b20,3,17
1307,1106,white,resign,english opening: king's english variation | reversed closed sicilian,a25,4,36
1113,1423,black,resign,sicilian defense: smith-morra gambit #2,b21,3,13
1078,1219,white,mate,queen's pawn game: chigorin variation,d01,4,69
1825,1079,white,resign,scotch game: haxo gambit,c45,8,43
1328,1038,black,mate,queen's pawn game: chigorin variation,d01,4,54
1056,1156,black,resign,slav defense,d10,4,53
1077,1148,black,mate,queen's gambit refused: marshall defense,d06,4,66
1358,1036,black,resign,sicilian defense: smith-morra gambit #2,b21,3,64
1200,1002,black,mate,sicilian defense: canal attack | main line,b52,6,64
1203,1019,white,resign,sicilian defense,b27,3,54
1019,1500,black,resign,queen's gambit accepted: central variation | greco variation,d20,6,21
1422,975,white,resign,sicilian defense: bowdler attack,b20,3,11
976,1832,black,resign,robatsch (modern) defense,b06,4,19
1569,978,white,resign,blackmar-diemer gambit: tartakower variation,d00,10,28
978,1500,black,resign,indian game,a45,2,22
1500,978,white,resign,sicilian defense: dragon variation | yugoslav attack | main line,b77,17,37
2449,978,white,resign,english opening: king's english variation | reversed sicilian,a21,3,34
1207,978,draw,draw,sicilian defense: dragon variation,b70,10,32
1241,978,black,resign,sicilian defense: closed variation,b23,3,71
1500,978,white,resign,sicilian defense: smith-morra gambit #2,b21,3,30
2443,978,white,resign,sicilian defense: dragon variation | yugoslav attack | modern line,b76,17,66
1500,978,white,resign,sicilian defense: smith-morra gambit #2,b21,3,41
1500,978,white,resign,sicilian defense: bowdler attack,b20,3,49
978,1500,black,resign,scandinavian defense,b01,2,3
1343,978,white,resign,sicilian defense: bowdler attack,b20,3,7
2436,978,white,mate,sicilian defense: dragon variation | yugoslav attack | main line,b77,17,35
2436,978,white,mate,scandinavian defense: mieses-kotroc variation,b01,4,41
978,1500,black,resign,french defense: normal variation,c00,3,5
1500,978,white,resign,king's pawn game: beyer gambit,c21,4,7
978,1500,white,mate,dutch defense,a80,2,53
1500,978,black,resign,english opening: king's english variation,a20,2,36
1521,1162,white,resign,zukertort opening: ross gambit,a04,2,8
1407,1500,white,resign,sicilian defense: closed variation,b23,3,3
1492,1458,white,resign,vienna game: mengarini variation,c26,5,28
1414,1442,black,resign,philidor defense: larsen variation,c41,8,30
1457,1294,black,resign,scotch game,c44,5,44
1525,1466,white,resign,philidor defense: lopez countergambit,c41,6,29
1207,1579,black,resign,french defense: knight variation,c00,3,37
1567,1573,white,resign,modern defense,a40,2,49
1578,1605,black,resign,horwitz defense,a40,2,32
1939,1581,white,resign,blumenfeld countergambit #2,e10,6,25
1618,1568,black,mate,french defense #2,c00,2,40
1755,1574,white,resign,zukertort opening: kingside fianchetto,a04,2,39
1561,1596,white,resign,indian game,a45,2,57
1500,1554,black,resign,french defense: queen's knight,c00,3,78
1544,1461,white,resign,queen's pawn game: mason attack,d00,3,61
1563,1335,black,resign,queen's pawn game: mason attack,d00,3,44
1579,1470,black,mate,queen's pawn,a41,2,62
1617,1590,white,mate,indian game,a45,2,87
1207,1588,black,mate,french defense: advance | steinitz variation,c02,7,54
1595,1547,black,resign,queen's pawn game: mason attack,d00,3,54
1855,1599,white,resign,french defense: exchange variation,c01,5,37
1589,1547,white,resign,horwitz defense,a40,2,50
1571,1728,white,resign,queen's pawn game: london system,d02,5,131
1720,1579,white,resign,french defense: chigorin variation,c00,3,48
1579,2105,black,resign,queen's pawn game: london system,d02,5,47
1768,1560,black,mate,french defense: la bourdonnais variation,c00,3,64
1552,1436,white,resign,queen's pawn game: mason attack,d00,3,61
1536,1667,white,mate,queen's pawn game: london system,d02,5,57
1521,1549,white,resign,english opening: anglo-lithuanian variation,a10,2,51
1251,1545,black,mate,crab opening,a00,3,58
1537,1408,white,resign,queen's pawn game: mason attack,d00,3,71
1522,1512,white,resign,queen's pawn,a40,1,114
1602,1532,white,resign,french defense: winawer variation | advance variation #2,c18,11,39
1543,1593,black,resign,queen's pawn game: london system,d02,5,20
1556,1539,black,resign,queen's pawn game: mason attack,d00,3,48
1409,1548,black,mate,french defense: knight variation,c00,3,34
1539,1418,white,resign,queen's pawn game: london system,d02,5,51
1603,1550,white,resign,french defense: queen's knight,c00,3,69
1542,1399,white,resign,queen's pawn game: steinitz countergambit,d00,4,28
1546,1877,black,resign,queen's pawn game: london system,d02,5,62
1134,1535,black,mate,queen's indian defense,a47,4,62
1513,1784,white,mate,horwitz defense,a40,2,85
